gene	disease	inheritance
DST	Epidermolysis bullosa simplex, autosomal recessive 2;EPIDERMOLYSIS BULLOSA SIMPLEX, AUTOSOMAL RECESSIVE 2	
DTNA	Left ventricular noncompaction 1;LEFT VENTRICULAR NONCOMPACTION 1	
DTNBP1	Hermansky-Pudlak syndrome 7;HERMANSKY-PUDLAK SYNDROME 7;Hermansky-Pudlak Syndrome	
DUOX2	Thyroid dyshormonogenesis 6;Congenital hypothyroidism, due to dyshormonogenesis, Thyroid dyshormonogenesis 6	Autosomal recessive inheritance
DUOXA2	Thyroglobulin synthesis defect;THYROID DYSHORMONOGENESIS 5	Autosomal recessive inheritance
DUSP6	Hypogonadotropic hypogonadism 19 with or without anosmia;HYPOGONADOTROPIC HYPOGONADISM 19 WITH ANOSMIA	
DVL1	Robinow syndrome, autosomal dominant 2	
DVL3	ROBINOW SYNDROME, AUTOSOMAL DOMINANT 3;Robinow syndrome;Robinow syndrome, autosomal dominant 3	Autosomal dominant inheritance
DYM	Dyggve-Melchior-Clausen syndrome;DYGGVE-MELCHIOR-CLAUSEN DISEASE	
DYNC1H1	Abnormality of neuronal migration;Malformation of Cortical Development	
DYNC2H1	Jeune thoracic dystrophy	
DYNC2LI1	SHORT-RIB THORACIC DYSPLASIA 15 WITH POLYDACTYLY;SHORT-RIB THORACIC DYSPLASIA 15 WITH POLYDACTYLY	
DYRK1A	Mental retardation, autosomal dominant 7;Brain abnormalities;Global developmental delay;Intellectual disability;Severe speech delay;Seizures;Short stature;Minor skeletal anomalies;Distinct facial gestal;Mental retardation, autosomal dominant 7;Mental retardation, autosomal dominant 7	
DYRK1B	Abdominal obesity-metabolic syndrome 3;ABDOMINAL OBESITY-METABOLIC SYNDROME 3	
DYSF	Limb-girdle muscular dystrophy, type 2B;Limb-girdle muscular dystrophy, type 2B	Autosomal recessive inheritance
EARS2	Combined oxidative phosphorylation deficiency 12;COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 12	
EBF3	Delayed speech and language development;Ataxia;Muscular hypotonia;Intellectual disability (moderate);Intellectual disability (moderate);Speech delay;Ataxia;Hypotonia	
EBP	Chondrodysplasia punctata 2, X-linked dominant, atypical;CHONDRODYSPLASIA PUNCTATA 2, X-LINKED DOMINANT, ATYPICAL	
ECE1	Hirschsprung disease, cardiac defects, and autonomic dysfunction;HIRSCHSPRUNG DISEASE, CARDIAC DEFECTS, AND AUTONOMIC DYSFUNCTION	
ECEL1	Arthrogryposis, distal, type 5d	
ECHS1	Leighs disease;Mitochondrial short-chain enoyl-coa hydratase 1 deficiency;Leigh syndrome;MITOCHONDRIAL SHORT-CHAIN ENOYL-CoA HYDRATASE 1 DEFICIENCY	
ECM1	Lipid proteinosis	
EDA	ECTODERMAL DYSPLASIA 1, HYPOHIDROTIC/HAIR/TOOTH TYPE, X-LINKED;Hypohidrotic X-linked ectodermal dysplasia;Hypohidrotic ectodermal dysplasia	
EDARADD	Autosomal recessive hypohidrotic ectodermal dysplasia syndrome;Hypohidrotic Ectodermal Dysplasia	
EDN1	Auriculocondylar syndrome 3;AURICULOCONDYLAR SYNDROME 3	
EDN3	Waardenburg syndrome type 4B;WAARDENBURG SYNDROME TYPE 4B	
EDNRA	Mandibulofacial dysostosis with alopecia;MANDIBULOFACIAL DYSOSTOSIS WITH ALOPECIA	
EEF1A2	Epileptic encephalopathy, early infantile, 33;EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 33	
EEF2	Spinocerebellar ataxia 26;SPINOCEREBELLAR ATAXIA 26 (1 family)	
EFEMP1	MALATTIA LEVENTINESE;Doyne honeycomb retinal dystrophy;Malattia leventinese	
EFEMP2	Autosomal recessive cutis laxa type 1B;Autosomal recessive cutis laxa type IA;EFEMP2-Related Cutis Laxa;CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE 1B	Autosomal recessive inheritance
EFHC1	Myoclonic epilepsy, juvenile 1;Myoclonic epilepsy, juvenile, susceptibility to, 1	
EFNB1	Craniofrontonasal dysplasia;CRANIOFRONTONASAL SYNDROME	
EFTUD2	Growth and mental retardation, mandibulofacial dysostosis, microcephaly, and cleft palate;Mandibulofacial dysostosis, Guion-Almeida type	
EGF	Hypomagnesemia 4, renal;HYPOMAGNESEMIA 4, RENAL	
EGFR	Inflammatory skin and bowel disease, neonatal, 2;INFLAMMATORY SKIN AND BOWEL DISEASE, NEONATAL, 2 (1 family)	
EGLN1	Erythrocytosis, familial, 3;ERYTHROCYTOSIS, FAMILIAL, 3	
EGR2	Charcot-Marie-Tooth disease, demyelinating, type 1d;CHARCOT-MARIE-TOOTH DISEASE, TYPE 1D;Charcot-Marie-Tooth Neuropathy Type 1	
EHBP1	Prostate cancer, hereditary, 12;PROSTATE CANCER, HEREDITARY, 12	
EHHADH	Fanconi renotubular syndrome 3;FANCONI RENOTUBULAR SYNDROME 3 (1 family)	
EHMT1	Chromosome 9q deletion syndrome	
EIF2AK3	Wolcott-Rallison dysplasia;Wolcott-Rallison syndrome	
EIF2AK4	Familial pulmonary capillary hemangiomatosis;PULMONARY VENOOCCLUSIVE DISEASE 2	
EIF2B1	Leukoencephalopathy with vanishing white matter;LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER	Autosomal recessive inheritance
EIF2B2	Leukoencephalopathy with vanishing white matter;LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER, ADULT-ONSET	Autosomal recessive inheritance
EIF2B3	Leukoencephalopathy with vanishing white matter;LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER, ADULT-ONSET	Autosomal recessive inheritance
EIF2B4	Leukoencephalopathy with vanishing white matter;LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER	Autosomal recessive inheritance
EIF2B5	Leukoencephalopathy with vanishing white matter;LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER, ADULT-ONSET	Autosomal recessive inheritance
EIF4A3	Richieri Costa Pereira syndrome;ROBIN SEQUENCE WITH CLEFT MANDIBLE AND LIMB ANOMALIES	
ELAC2	Combined oxidative phosphorylation deficiency 17;COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 17	
ELANE	Cyclical neutropenia	Autosomal dominant inheritance;Autosomal recessive inheritance
ELMOD3	Deafness, autosomal recessive 88;DEAFNESS, AUTOSOMAL RECESSIVE 88 (1 family)	
ELN	not provided;not provided	
ELOVL4	Erythrokeratodermia with ataxia;SPINOCEREBELLAR ATAXIA 34 (1 family)	
ELOVL5	Spinocerebellar ataxia 38;SPINOCEREBELLAR ATAXIA 38	
ELP4	Congenital aniridia;ANIRIDIA (1 patient)	Autosomal dominant inheritance
EMC1	Dystonic posturing;not specified;CEREBELLAR ATROPHY, VISUAL IMPAIRMENT, AND PSYCHOMOTOR RETARDATION;Scoliosis;Cerebellar atrophy;Microcephaly;Diminished deep tendon reflexes;Developmental delay;Speech delay;Cerebellar atrophy, visual impairment, and psychomotor retardation;Truncal hypotonia	
EMD	Cardiomyopathy;Cardiomyopathy	
EMG1	Bowen-Conradi syndrome;BOWEN-CONRADI SYNDROME	Autosomal recessive inheritance
EMP2	Nephrotic syndrome, type 10;NEPHROTIC SYNDROME, TYPE 10	
ENAM	Amelogenesis imperfecta - hypoplastic autosomal dominant - local;AMELOGENESIS IMPERFECTA, TYPE IB	Autosomal dominant inheritance
ENG	not provided;Haemorrhagic telangiectasia 1	
ENO3	Glycogen storage disease type 13;GLYCOGEN STORAGE DISEASE XIII (1 patient)	
ENPP1	Arterial calcification of infancy;ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 1	
EOGT	Adams-Oliver syndrome 4;ADAMS-OLIVER SYNDROME 4	
EP300	Carcinoma of colon;COLORECTAL CANCER, SOMATIC	Somatic mutation
EPAS1	Erythrocytosis, familial, 4;ERYTHROCYTOSIS, FAMILIAL, 4	
EPB41	Elliptocytosis 1;ELLIPTOCYTOSIS 1	
EPB42	Spherocytosis type 5;Spherocytosis type 5	
EPCAM	Diarrhea 5, with tufting enteropathy, congenital;DIARRHEA 5, WITH TUFTING ENTEROPATHY, CONGENITAL	Autosomal dominant inheritance
EPG5	Absent corpus callosum cataract immunodeficiency;VICI SYNDROME	Autosomal recessive inheritance
EPHA2	Cataract 6, age-related cortical;CATARACT 6, AGE-RELATED CORTICAL	
EPHB2	Prostate cancer/brain cancer susceptibility;PROSTATE CANCER, PROGRESSION AND METASTASIS OF, SOMATIC	
EPM2A	EPILEPSY, PROGRESSIVE MYOCLONIC, 2A;Lafora disease;not provided	
EPOR	Familial erythrocytosis, 1;Acute myeloid leukemia, M6 type;ERYTHROCYTOSIS, FAMILIAL, 1	Autosomal dominant inheritance
EPS8	Deafness, autosomal recessive 102;DEAFNESS, AUTOSOMAL RECESSIVE 102 (1 family)	
ERBB2	Adenocarcinoma of lung;ADENOCARCINOMA OF LUNG, SOMATIC	
ERBB4	Amyotrophic lateral sclerosis 19;not provided;AMYOTROPHIC LATERAL SCLEROSIS 19	
ERCC1	Cerebrooculofacioskeletal syndrome 4;CEREBROOCULOFACIOSKELETAL SYNDROME 4	
ERCC2	Cerebrooculofacioskeletal syndrome 2;CEREBROOCULOFACIOSKELETAL SYNDROME 2 (1 patient)	
ERCC3	Trichothiodystrophy 2, photosensitive;TRICHOTHIODYSTROPHY 2, PHOTOSENSITIVE	
ERCC4	Fanconi anemia, complementation group Q;FANCONI ANEMIA, COMPLEMENTATION GROUP Q	
ERCC6	Cerebro-oculo-facio-skeletal syndrome;CEREBROOCULOFACIOSKELETAL SYNDROME 1	
ERCC6L2	Bone marrow failure syndrome 2;BONE MARROW FAILURE SYNDROME 2	
ERCC8	COCKAYNE SYNDROME A;Cockayne syndrome type A;not provided	
ERF	Craniosynostosis 4;CRANIOSYNOSTOSIS 4	
ERLIN1	Spastic paraplegia 62, autosomal recessive;SPASTIC PARAPLEGIA 62	
ERLIN2	Spastic paraplegia 18;SPASTIC PARAPLEGIA 18, AUTOSOMAL RECESSIVE	
ERMAP	SCIANNA BLOOD GROUP SYSTEM, SC:-1,-2;SCIANNA BLOOD GROUP SYSTEM, SC:-1,-2	
ERMARD	Periventricular nodular heterotopia 6;PERIVENTRICULAR NODULAR HETEROTOPIA 6 (1 family)	
ESCO2	Roberts-SC phocomelia syndrome;Roberts syndrome	Autosomal recessive inheritance
ESPN	Deafness, without vestibular involvement, autosomal dominant;DEAFNESS, AUTOSOMAL DOMINANT, WITHOUT VESTIBULAR INVOLVEMENT	
ESR1	Estrogen resistance;ESTROGEN RESISTANCE	
ESRRB	Deafness, autosomal recessive 35;DEAFNESS, AUTOSOMAL RECESSIVE 35	
ETFA	Glutaric acidemia IIA;GLUTARIC ACIDEMIA IIA	
ETFB	Glutaric acidemia IIB;GLUTARIC ACIDEMIA IIB	
ETFDH	Glutaric acidemia IIC;GLUTARIC ACIDEMIA IIC	
ETHE1	Ethylmalonic encephalopathy;ENCEPHALOPATHY, ETHYLMALONIC	Autosomal recessive inheritance
ETV6	Acute myeloid leukemia;LEUKEMIA, ACUTE MYELOID, SOMATIC	Autosomal dominant inheritance;Somatic mutation
EVC	Chondroectodermal dysplasia;ELLIS-VAN CREVELD SYNDROME	
EVC2	Chondroectodermal dysplasia;Chondroectodermal dysplasia	
EXOSC3	Pontocerebellar hypoplasia, type 1b;Pontocerebellar hypoplasia, type 1B	
EXOSC8	Pontocerebellar hypoplasia, type 1c;PONTOCEREBELLAR HYPOPLASIA, TYPE 1C	
EXT1	Chondrosarcoma;CHONDROSARCOMA, SOMATIC	
EXT2	Multiple exostoses type 2;EXOSTOSES, MULTIPLE, TYPE II	
EYA1	Anterior segment anomalies and cataract;ANTERIOR SEGMENT ANOMALIES AND CATARACT	
EYA4	Deafness, autosomal dominant 10	Autosomal dominant inheritance
EYS	not provided;not provided	
EZH2	Weaver syndrome;EZH2-Related Overgrowth	Autosomal dominant inheritance
F10	Factor X deficiency;FACTOR X DEFICIENCY	
F11	Hereditary factor XI deficiency disease;FACTOR XI DEFICIENCY	Autosomal recessive inheritance
F13A1	Factor xiii, a subunit, deficiency of;FACTOR XIII, A SUBUNIT, DEFICIENCY OF	Autosomal recessive inheritance
F13B	Factor xiii, b subunit, deficiency of;FACTOR XIII, B SUBUNIT, DEFICIENCY OF	Autosomal recessive inheritance
F2	DYSPROTHROMBINEMIA PROTHROMBIN HIMI-II;DYSPROTHROMBINEMIA PROTHROMBIN HIMI-II	
F5	Factor V deficiency;FACTOR V DEFICIENCY	
F7	Factor VII deficiency;FACTOR VII DEFICIENCY	
F8	FACTOR VIII (OKAYAMA);FACTOR VIII (OKAYAMA)	
F9	Hemophilia b(m);HEMOPHILIA B(M)	X-linked recessive inheritance
FA2H	Inborn genetic diseases;Ataxia;Brain MRI positive;progressive;Musculoskeletal/Structural (child onset);Neurologic (child onset)	
FADD	Infections, recurrent, associated with encephalopathy, hepatic dysfunction, and cardiovascular malformations;INFECTIONS, RECURRENT, ASSOCIATED WITH ENCEPHALOPATHY, HEPATIC DYSFUNCTION, AND CARDIOVASCULAR MALFORMATIONS	
FAH	Fumarylacetoacetase pseudodeficiency;Tyrosinemia Type I;not provided;Tyrosinemia type I;FUMARYLACETOACETASE PSEUDODEFICIENCY	Autosomal recessive inheritance
FAM111A	Gracile bone dysplasia;GRACILE BONE DYSPLASIA;Gracile bone dysplasia	
FAM111B	Poikiloderma, hereditary fibrosing, with tendon contractures, myopathy, and pulmonary fibrosis;POIKILODERMA, HEREDITARY FIBROSING, WITH TENDON CONTRACTURES, MYOPATHY, AND PULMONARY FIBROSIS	
FAM126A	Hypomyelination and Congenital Cataract;LEUKODYSTROPHY, HYPOMYELINATING, 5;Hypomyelination and Congenital Cataract	
FAM134B	Hereditary sensory and autonomic neuropathy type IIA;Hereditary Sensory and Autonomic Neuropathy Type II	
FAM136A	Ménières disease;MENIERE DISEASE	
FAM161A	Retinitis pigmentosa 28;RETINITIS PIGMENTOSA 28	
FAM175A	Hereditary cancer-predisposing syndrome;Neoplastic Syndromes, Hereditary	Autosomal dominant inheritance
FAM20A	Enamel-renal syndrome;AMELOGENESIS IMPERFECTA, TYPE IG	Autosomal recessive inheritance
FAM20C	Raine syndrome;RAINE SYNDROME	Autosomal recessive inheritance
FAM65B	Deafness, autosomal recessive 104;DEAFNESS, AUTOSOMAL RECESSIVE 104 (1 family)	
FAM83H	Amelogenesis imperfecta, hypocalcification type;AMELOGENESIS IMPERFECTA, TYPE III	Autosomal dominant inheritance
FANCA	Fanconi anemia	
FANCC	Fanconi anemia	
FANCD2	Fanconi anemia	
FANCE	Fanconi anemia, complementation group E;FANCONI ANEMIA, COMPLEMENTATION GROUP E	
FANCF	Fanconi anemia, complementation group F;FANCONI ANEMIA, COMPLEMENTATION GROUP F	
FANCG	Fanconi anemia	
FANCI	Fanconi anemia	
FANCL	Fanconi anemia	
FAR1	Peroxisomal fatty acyl-coa reductase 1 disorder;PEROXISOMAL FATTY ACYL-CoA REDUCTASE 1 DISORDER	
FARS2	Combined oxidative phosphorylation deficiency 14;COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 14	
FAS	Autoimmune lymphoproliferative syndrome, type 1a;AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME, TYPE IA	
FASLG	Autoimmune lymphoproliferative syndrome;Autoimmune lymphoproliferative syndrome	
FASTKD2	Cytochrome-c oxidase deficiency;MITOCHONDRIAL COMPLEX IV DEFICIENCY (1 family)	Autosomal recessive inheritance;Mitochondrial inheritance
FAT4	Hennekam lymphangiectasia-lymphedema syndrome 2;HENNEKAM LYMPHANGIECTASIA-LYMPHEDEMA SYNDROME 2	
FBLN1	VARIANT OF UNKNOWN SIGNIFICANCE;not provided;Autosomal recessive syndrome of syndactyly, undescended testes and central nervous system defects	
FBLN5	Age-related macular degeneration 3;MACULAR DEGENERATION, AGE-RELATED, 3	
FBN1	Acromicric dysplasia;ACROMICRIC DYSPLASIA	Autosomal dominant inheritance
FBN2	Congenital contractural arachnodactyly;CONTRACTURAL ARACHNODACTYLY, CONGENITAL	Autosomal dominant inheritance
FBP1	Fructose-biphosphatase deficiency;FRUCTOSE-1,6-BISPHOSPHATASE DEFICIENCY	
FBXL4	Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type);Global developmental delay;not provided;MITOCHONDRIAL DNA DEPLETION SYNDROME 13 (ENCEPHALOMYOPATHIC TYPE);Mitochondrial encephalomyopathy	
FBXO31	Mental retardation, autosomal recessive 45;MENTAL RETARDATION, AUTOSOMAL RECESSIVE 45 (1 family)	
FBXO38	Distal hereditary motor neuronopathy 2D;NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE IID	
FBXO7	Parkinson disease 15;PARKINSON DISEASE 15, AUTOSOMAL RECESSIVE	
FCGR3A	Immunodeficiency 20;IMMUNODEFICIENCY 20	
FCN3	Immunodeficiency due to ficolin 3 deficiency;IMMUNODEFICIENCY 47	
FDPS	Porokeratosis 9, multiple types;POROKERATOSIS 9, MULTIPLE TYPES	
FECH	Erythropoietic protoporphyria;PROTOPORPHYRIA, ERYTHROPOIETIC	
FERMT1	Kindlers syndrome	
FERMT3	Leukocyte adhesion deficiency, type III;LEUKOCYTE ADHESION DEFICIENCY, TYPE III	
FEZF1	Hypogonadotropic hypogonadism 22 with anosmia;HYPOGONADOTROPIC HYPOGONADISM 22 WITH ANOSMIA	
FGA	Afibrinogenemia, congenital;AFIBRINOGENEMIA, CONGENITAL	
FGB	Afibrinogenemia, congenital;AFIBRINOGENEMIA, CONGENITAL	
FGD1	Aarskog syndrome;AARSKOG-SCOTT SYNDROME WITH ATTENTION DEFICIT-HYPERACTIVITY DISORDER	X-linked recessive inheritance
FGD4	Charcot-Marie-Tooth disease, type 4H;CHARCOT-MARIE-TOOTH DISEASE, TYPE 4H	
FGF10	APLASIA OF LACRIMAL AND SALIVARY GLANDS;Levy-Hollister syndrome;Congenital absence of salivary gland	
FGF14	Spinocerebellar ataxia 27;SPINOCEREBELLAR ATAXIA 27	
FGF16	Metacarpal 4-5 fusion;METACARPAL 4-5 FUSION	
FGF17	Hypogonadotropic hypogonadism 20 with or without anosmia;HYPOGONADOTROPIC HYPOGONADISM 20 WITH ANOSMIA	
FGF20	Renal hypodysplasia/aplasia 2;RENAL HYPODYSPLASIA/APLASIA 2 (1 family)	
FGF23	Autosomal dominant hypophosphatemic rickets;Autosomal Dominant Hypophosphatemic Rickets	
FGF3	Deafness with labyrinthine aplasia microtia and microdontia (LAMM);Congenital Deafness with Labyrinthine Aplasia, Microtia, and Microdontia	
FGF5	Trichomegaly;TRICHOMEGALY	
FGF8	Kallmann syndrome 6;HYPOGONADOTROPIC HYPOGONADISM 6 WITH OR WITHOUT ANOSMIA	
FGF9	Multiple synostoses syndrome 3;MULTIPLE SYNOSTOSES SYNDROME 3 (1 family)	
FGFR1	Encephalocraniocutaneous lipomatosis;ENCEPHALOCRANIOCUTANEOUS LIPOMATOSIS	
FGFR2	Acrocephalosyndactyly type I;Acrocephalosyndactyly type I	Autosomal dominant inheritance
FGFR3	Achondroplasia;ACHONDROPLASIA	Autosomal dominant inheritance
FGFR4	Cancer progression and tumor cell motility;CANCER PROGRESSION AND TUMOR CELL MOTILITY	
FGG	Afibrinogenemia, congenital;AFIBRINOGENEMIA, CONGENITAL	
FH	Fumarase deficiency	Autosomal recessive inheritance
FHL1	Emery-Dreifuss muscular dystrophy 6;EMERY-DREIFUSS MUSCULAR DYSTROPHY 6	
FIG4	Amyotrophic lateral sclerosis type 11;AMYOTROPHIC LATERAL SCLEROSIS 11	
FKBP10	Bruck syndrome 1;BRUCK SYNDROME 1	Autosomal recessive inheritance
FKRP	Congenital muscular dystrophy-dystroglycanopathy with brain and eye anomalies type A5;MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 5	Autosomal recessive inheritance
FKTN	Congenital muscular dystrophy-dystroglycanopathy with brain and eye anomalies, type A4;MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 4	
FLAD1	Glutaric aciduria, type 2	Autosomal recessive inheritance
FLCN	Birt-Hogg-Dube Syndrome;Hereditary cancer-predisposing syndrome;BIRT-HOGG-DUBE SYNDROME;Multiple fibrofolliculomas;Neoplastic Syndromes, Hereditary	Autosomal dominant inheritance
FLG	Dermatitis, atopic, 2, susceptibility to;ICHTHYOSIS VULGARIS;Ichthyosis vulgaris	Autosomal dominant inheritance
FLI1	Bleeding disorder platelet type macrothrombocytopenia;Bleeding disorder platelet type macrothrombocytopenia	
FLNA	Cardiac valvular dysplasia, X-linked;CARDIAC VALVULAR DYSPLASIA, X-LINKED	
FLNB	Atelosteogenesis type 1;ATELOSTEOGENESIS, TYPE I	
FLNC	Cardiomyopathy, familial restrictive, 5;CARDIOMYOPATHY, FAMILIAL RESTRICTIVE, 5	
FLT3	Acute lymphoid leukemia;Acute myeloid leukemia;LEUKEMIA, ACUTE MYELOID, SOMATIC	Autosomal dominant inheritance;Somatic mutation
FLT4	Hemangioma, capillary infantile;HEMANGIOMA, CAPILLARY INFANTILE, SOMATIC	
FLVCR1	Posterior column ataxia with retinitis pigmentosa;POSTERIOR COLUMN ATAXIA WITH RETINITIS PIGMENTOSA	
FLVCR2	Proliferative vasculopathy and hydranencephaly-hydrocephaly syndrome;PROLIFERATIVE VASCULOPATHY AND HYDRANENCEPHALY-HYDROCEPHALY SYNDROME	
FMN2	Mental retardation, autosomal recessive 47;MENTAL RETARDATION, AUTOSOMAL RECESSIVE 47	
FMO3	FMO3 activity, decreased;FMO3 ACTIVITY, DECREASED	
FMR1	Fragile X syndrome;FRAGILE X MENTAL RETARDATION SYNDROME	X-linked inheritance
FN1	Glomerulopathy with fibronectin deposits 2;Glomerulopathy with fibronectin deposits 2	Autosomal dominant inheritance
FOLR1	Cerebral folate deficiency;NEURODEGENERATION DUE TO CEREBRAL FOLATE TRANSPORT DEFICIENCY	Autosomal recessive inheritance
FOXC1	Axenfeld anomaly;AXENFELD ANOMALY	
FOXE1	Bamforth syndrome;HYPOTHYROIDISM, ATHYROIDAL, WITH SPIKY HAIR AND CLEFT PALATE	Autosomal recessive inheritance
FOXF1	Alveolar capillary dysplasia with misalignment of pulmonary veins;ALVEOLAR CAPILLARY DYSPLASIA WITH MISALIGNMENT OF PULMONARY VEINS	
FOXG1	Inborn genetic diseases;MR/ID/DD;Neurologic (child onset);Gastrointestinal (child onset);Pulmonary (child onset)	
FOXI1	DEAFNESS, AUTOSOMAL RECESSIVE 4, WITH ENLARGED VESTIBULAR AQUEDUCT;Pendreds syndrome;Enlarged vestibular aqueduct syndrome	Autosomal recessive inheritance
FOXL2	Blepharophimosis, ptosis, and epicanthus inversus;Blepharophimosis, ptosis, and epicanthus inversus	
FOXN1	T-cell immunodeficiency, congenital alopecia and nail dystrophy;T-CELL IMMUNODEFICIENCY, CONGENITAL ALOPECIA, AND NAIL DYSTROPHY	
FOXP1	Mental retardation with language impairment and with or without autistic features;Mental retardation with language impairment and autistic features	
FOXP2	not provided;not provided	
FOXP3	Insulin-dependent diabetes mellitus secretory diarrhea syndrome;Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked	X-linked inheritance
FOXRED1	Mitochondrial complex I deficiency;Mitochondrial complex I deficiency	
FRAS1	Cryptophthalmos syndrome;Cryptophthalmos syndrome	
FREM1	BIFID NOSE WITH OR WITHOUT ANORECTAL AND RENAL ANOMALIES;Bifid nose with or without anorectal and renal anomalies;not provided	
FREM2	Cryptophthalmos syndrome;FRASER SYNDROME	
FRMD4A	Corpus callosum, agenesis of, with facial anomalies and cerebellar ataxia;CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND CEREBELLAR ATAXIA (1 family)	
FRMD7	Infantile nystagmus, X-linked;manifest conjugate horizontal jerk nystagmus;manifest conjugate horizontal jerk nystagmus;manifest conjugate horizontal jerk nystagmus;manifest conjugate horizontal jerk nystagmus;Infantile nystagmus, X-linked	
FRRS1L	Seizures;Progressive encephalopathy;Chorea;EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 37	
FSCN2	Retinitis pigmentosa 30;RETINITIS PIGMENTOSA 30;Lebers amaurosis;not provided;Leber congenital amaurosis	
FSHB	Follicle-stimulating hormone deficiency, isolated;HYPOGONADOTROPIC HYPOGONADISM 24 WITHOUT ANOSMIA	
FSHR	Ovarian dysgenesis 1;OVARIAN DYSGENESIS 1	Autosomal recessive inheritance
FTCD	GLUTAMATE FORMIMINOTRANSFERASE DEFICIENCY;Glutamate formiminotransferase deficiency	
FTH1	Hemochromatosis type 5;HEMOCHROMATOSIS, TYPE 5 (1 family)	
FTL	Hyperferritinemia cataract syndrome;HYPERFERRITINEMIA WITH OR WITHOUT CATARACT	
FTO	Growth retardation, developmental delay, coarse facies, and early death;Distinctive facial features;Failure to thrive;Global developmental delay;Mild brain atrophy;Borderline microcephaly;Left ventricular hypertrophy;Bilateral hearing loss;Reduced vision;Growth retardation, developmental delay, coarse facies, and early death;GROWTH RETARDATION, DEVELOPMENTAL DELAY, AND FACIAL DYSMORPHISM	
FTSJ1	Inborn genetic diseases;MR/ID/DD;Allergy/Immunologic/Infectious (child onset);Craniofacial (child onset);Neurologic (child onset);Dermatologic (child onset);Gastrointestinal (child onset)	
FUCA1	Fucosidosis;Fucosidosis	Autosomal recessive inheritance
